ProductType,ModelName,ModelFeatures,Price
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V80,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V81,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V82,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V83,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V84,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V85,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V86,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V87,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V88,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V89,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V90,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V91,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V92,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V93,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Nintendo Switch OLED V94,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V95,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V96,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V97,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V98,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V99,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V1,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Canon EOS R5 V2,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V3,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Sony Alpha a7 III V4,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V5,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V6,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V7,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V8,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Sony Alpha a7 III V9,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Nikon Z6 II V10,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V11,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V12,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Canon EOS R5 V13,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V14,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V15,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Sony Alpha a7 III V16,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Nikon Z6 II V17,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V18,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Canon EOS R5 V19,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V20,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V21,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V22,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V23,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V24,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Nikon Z6 II V25,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V26,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V27,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Nikon Z6 II V28,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V29,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V30,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Sony Alpha a7 III V31,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V32,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V33,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V34,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V35,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Nikon Z6 II V36,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V37,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V38,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V39,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Nintendo Switch OLED V40,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V41,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V42,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V43,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V44,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Sony Alpha a7 III V45,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Microsoft Xbox Series X V46,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Microsoft Xbox Series X V47,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Sony Alpha a7 III V48,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V49,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V50,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V51,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Sony Alpha a7 III V52,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V53,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Microsoft Xbox Series X V54,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V55,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V56,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V57,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V58,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Canon EOS R5 V59,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V60,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V61,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V62,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V63,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V64,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V65,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V66,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V67,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V68,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V69,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V70,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Nintendo Switch OLED V71,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V72,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Nikon Z6 II V73,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V74,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Nintendo Switch OLED V75,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V76,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Sony Alpha a7 III V77,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Nintendo Switch OLED V78,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Nintendo Switch OLED V79,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V80,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V81,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Canon EOS R5 V82,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V83,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V84,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V85,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V86,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V87,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V88,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V89,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Microsoft Xbox Series X V90,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Sony Alpha a7 III V91,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V92,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Nikon Z6 II V93,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V94,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Sony Alpha a7 III V95,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Microsoft Xbox Series X V96,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V97,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V98,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V99,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V1,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V2,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V3,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V4,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V5,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V6,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V7,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Canon EOS R5 V8,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V9,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V10,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Sony Alpha a7 III V11,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V12,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Nintendo Switch OLED V13,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V14,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V15,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V16,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V17,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V18,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V19,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V20,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Nintendo Switch OLED V21,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V22,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Canon EOS R5 V23,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V24,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Sony Alpha a7 III V25,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V26,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Sony Alpha a7 III V27,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V28,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Sony Alpha a7 III V29,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V30,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V31,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V32,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V33,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
